comments,Toxicity,Obscence,Threat,Identity attack - Insult,Sexual explicit,Sedition – Politics,Spam
17 năm của bạn mà ko biết phân biệt mô hình hoạt động câu lạc bộ nó khác nhau à . T tự lực cánh sinh thằng sống bằng hầu bao của ông chủ . Điều cơ bản thế ko phân biệt được thì khoe 17 năm xem bóng làm gì người ta cười vào mặt cho bạn .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Em nhận call show trực tiếp ( Có Phí ) 🥰 Không nhận làm quen với đi khách nên đừng ib ❤ ❤ ❤ 🔞,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"Vũ Thủy mày có nhầm cái máy bay tự chế , tàu ngầm tự chế với cái cày cái cuốc của nông dân không ? Lấy tàu ngầm đem ra ruộng cày để trồng lúa cho mày ăn à , con mẹ mày vừa già vừa ngu",1.0,1.0,0.0,1.0,0.0,0.0,0.0
"đừng lấy tg đéo nào , lấy tao nhá =))))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" Em đủ 18 chưa ? "" ( chưa đủ thì hơi khó , còn qua 18 rồi thì dễ )",1.0,0.0,0.0,0.0,1.0,0.0,0.0
Đụ má t cười ỉa bây ơiiii .,1.0,1.0,0.0,0.0,0.0,0.0,0.0
T mệt cái cap ghê =))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocschos vl,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Mắt Nâu màu Hạt Nhãn , vẫn ko tượng thanh được",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hoa Nguyen chắc muốn nổi thêm hay gì ? Kệ ct muốn làm gì , vậy cũng viết stt dc , đúng là rách và fan giả tạo như nhau",0.0,0.0,0.0,0.0,0.0,0.0,0.0
^ ^ !,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi pooku còn đc giải nữ diễn viên đc yêu thích nhất vượt Thanh Hằng chỉ sau 1 đêm cơ mà . Mua giải lòi,1.0,0.0,0.0,1.0,0.0,0.0,0.0
con chó đáng yêu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe khách xe ngoài xa lộ xe buýt trong nội thành thì thôi rồi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chỉ cần có một đứa con thôi sẽ sáng mắt ngay :)) Lúc đấy hối lại k kịp ấy , gì chứ k có tiền k những khổ mình còn khổ cả con nữa ấy",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thấy cái cài áo xanh đỏ tím vàng đó Coi chừng mấy em fan tưởng nhầm cờ LGBT lại về gáy ăn mặc mang thông điệp đẹp :)))))))))),1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mặt điểu chó vl,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Cải tổ ? cải rồi lấy j cho tổ ăn ? Nếu đúng là mún tốt đẹp thì k để những vấn đề xảy ra như hiện nay rồi kêu là cải tổ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khép góc với bẫy việt vị trình độ Ha vớt =)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mấy ô dân chủ toàn bề ngoài . Trump mặc dù bộc trực nhưng tính ngay thẳng ko đạo đức giả , mấy ô kia toàn phải lễ nghi hình thức , nói chuyện phải ý tứ , phải bảo vệ môi trường . Ô ta phải được quyền nói những gì ô ta nói chứ cấm là sai .",0.0,0.0,0.0,1.0,0.0,1.0,0.0
dan dung len het chong lai cai dang cong san. thoi nat,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Sao sao sao .................... đánh nhau không,1.0,0.0,1.0,0.0,0.0,0.0,0.0
chưa thấy đâu cả : ( (,0.0,0.0,0.0,0.0,0.0,0.0,0.0
𝐵𝑎 ́ 𝑛ℎ 𝑡𝑟𝑎 ́ 𝑛𝑔 𝑚𝑢𝑜 ̂ ́ 𝑖 𝑛ℎ𝑢𝑦𝑒 ̂ ̃ 𝑛 𝑣𝑎 ̀ 𝑚𝑢𝑜 ̂ ́ 𝑖 𝑐ℎ𝑎 ̂ ́ 𝑚 đ𝑜 ̣ ̂ 𝑐 𝑞𝑢𝑦𝑒 ̂ ̀ 𝑛 𝐿ℎ : 0908380981,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cũng may cho dân lành là bây giờ nhiều điện thoại nên hổ báo cũng giảm .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nta là nhà Tiên Sư . Biết dc nv là tốt rồi . Mấy anh Hiệp Sĩ sân khấu xem có đồ gì ngon thì dùng dần thôi .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k trật phát nào kkk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
một câu chuyện buồn .... cười,0.0,0.0,0.0,0.0,0.0,0.0,0.0
